epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,294.622,0.31788,0.76244,0.93439,0.81869,0.96582,0.995,0.96494,0.30788,1.2515,0.97288,0.000834822,0.000834822,0.000834822
44,301.452,0.34225,0.76926,0.93639,0.85125,1,0.98738,0.94498,0.29468,1.25475,0.98062,0.000820675,0.000820675,0.000820675
45,308.232,0.29633,0.75528,0.89283,0.85125,1,0.98738,0.94498,0.29468,1.25475,0.98062,0.000806528,0.000806528,0.000806528
46,315.043,0.35863,0.76633,0.94131,0.87617,0.99757,0.995,0.97303,0.3159,1.13708,0.98577,0.00079238,0.00079238,0.00079238
47,321.834,0.2883,0.74607,0.90344,0.88593,0.95676,0.995,0.96925,0.30935,1.05858,0.97504,0.000778233,0.000778233,0.000778233
48,328.618,0.31584,0.76276,0.90679,0.88593,0.95676,0.995,0.96925,0.30935,1.05858,0.97504,0.000764086,0.000764086,0.000764086
49,335.41,0.30328,0.70932,0.90758,0.94937,0.95932,0.995,0.96277,0.27239,0.99254,0.94622,0.000749939,0.000749939,0.000749939
50,342.195,0.3061,0.71364,0.92263,0.94937,0.95932,0.995,0.96277,0.27239,0.99254,0.94622,0.000735792,0.000735792,0.000735792
51,348.995,0.28962,0.69375,0.94366,0.95013,0.94444,0.98738,0.95042,0.2906,0.92094,0.96098,0.000721645,0.000721645,0.000721645
52,355.802,0.30639,0.6879,0.9074,0.95013,0.94444,0.98738,0.95042,0.2906,0.92094,0.96098,0.000707498,0.000707498,0.000707498
53,362.604,0.30727,0.68002,0.94672,0.95577,0.94444,0.98738,0.92197,0.34549,0.89477,0.99078,0.000693351,0.000693351,0.000693351
54,369.409,0.27246,0.61421,0.89625,0.95716,0.94444,0.98738,0.90571,0.4038,0.91296,1.0394,0.000679204,0.000679204,0.000679204
55,376.189,0.28959,0.61581,0.88946,0.95716,0.94444,0.98738,0.90571,0.4038,0.91296,1.0394,0.000665057,0.000665057,0.000665057
56,382.994,0.26727,0.65266,0.90973,0.96119,0.94444,0.98738,0.92709,0.37269,0.9167,1.03766,0.000650909,0.000650909,0.000650909
57,389.771,0.28104,0.64046,0.91556,0.96119,0.94444,0.98738,0.92709,0.37269,0.9167,1.03766,0.000636762,0.000636762,0.000636762
58,396.587,0.28691,0.63708,0.90114,0.96047,0.94444,0.98738,0.95205,0.334,0.92266,1.01651,0.000622615,0.000622615,0.000622615
59,403.439,0.27089,0.64411,0.92065,0.96047,0.94444,0.98738,0.95205,0.334,0.92266,1.01651,0.000608468,0.000608468,0.000608468
60,410.256,0.28066,0.65267,0.90567,0.96364,0.94444,0.98738,0.97603,0.26965,0.94283,0.98328,0.000594321,0.000594321,0.000594321
61,417.069,0.29726,0.65436,0.89854,0.96364,0.94444,0.98738,0.97603,0.26965,0.94283,0.98328,0.000580174,0.000580174,0.000580174
62,423.883,0.27614,0.71876,0.9447,0.96485,0.94444,0.98738,0.96049,0.25933,0.92131,0.95918,0.000566027,0.000566027,0.000566027
63,430.691,0.23665,0.64226,0.90501,0.96296,0.94444,0.98738,0.96049,0.25079,0.9,0.93885,0.00055188,0.00055188,0.00055188
64,437.498,0.29221,0.62313,0.90286,0.96296,0.94444,0.98738,0.96049,0.25079,0.9,0.93885,0.000537733,0.000537733,0.000537733
65,444.296,0.27361,0.65101,0.91368,0.99225,0.9776,0.995,0.995,0.26024,0.86703,0.92786,0.000523586,0.000523586,0.000523586
66,451.087,0.29661,0.69439,0.91113,0.99225,0.9776,0.995,0.995,0.26024,0.86703,0.92786,0.000509438,0.000509438,0.000509438
67,457.908,0.25946,0.64611,0.8927,0.99341,0.99245,0.995,0.98291,0.25714,0.80876,0.92487,0.000495291,0.000495291,0.000495291
68,464.7,0.25674,0.62067,0.87123,0.99341,0.99245,0.995,0.98291,0.25714,0.80876,0.92487,0.000481144,0.000481144,0.000481144
69,471.524,0.24067,0.59172,0.88775,0.99147,0.99987,0.995,0.98968,0.23884,0.80112,0.92081,0.000466997,0.000466997,0.000466997
70,478.34,0.26426,0.62592,0.88849,0.98145,1,0.995,0.98403,0.24439,0.79447,0.91102,0.00045285,0.00045285,0.00045285
71,485.228,0.2906,0.60928,0.92828,0.98145,1,0.995,0.98403,0.24439,0.79447,0.91102,0.000438703,0.000438703,0.000438703
72,492.211,0.25128,0.57766,0.90709,0.97747,0.99916,0.995,0.98969,0.23828,0.81311,0.91568,0.000424556,0.000424556,0.000424556
73,499.011,0.22259,0.5598,0.88079,0.97747,0.99916,0.995,0.98969,0.23828,0.81311,0.91568,0.000410409,0.000410409,0.000410409
74,505.801,0.24773,0.58875,0.90116,0.97523,0.99663,0.995,0.98066,0.22398,0.81603,0.91869,0.000396262,0.000396262,0.000396262
75,512.63,0.26346,0.58053,0.88128,0.97523,0.99663,0.995,0.98066,0.22398,0.81603,0.91869,0.000382115,0.000382115,0.000382115
76,519.5,0.26914,0.57531,0.89435,0.97107,0.99048,0.995,0.98597,0.21596,0.83149,0.91881,0.000367967,0.000367967,0.000367967
77,526.37,0.25368,0.57249,0.89566,0.97107,0.99048,0.995,0.98597,0.21596,0.83149,0.91881,0.00035382,0.00035382,0.00035382
78,533.222,0.23039,0.53717,0.89478,0.97285,0.99079,0.995,0.98505,0.21141,0.84387,0.91778,0.000339673,0.000339673,0.000339673
79,540.08,0.2924,0.6521,0.92672,0.96007,0.98644,0.995,0.97759,0.21412,0.87238,0.91722,0.000325526,0.000325526,0.000325526
80,546.917,0.23461,0.56582,0.90705,0.96007,0.98644,0.995,0.97759,0.21412,0.87238,0.91722,0.000311379,0.000311379,0.000311379
81,553.751,0.24978,0.59631,0.90203,0.95933,0.98749,0.995,0.97759,0.22173,0.86899,0.92527,0.000297232,0.000297232,0.000297232
82,560.579,0.23659,0.55908,0.87495,0.95933,0.98749,0.995,0.97759,0.22173,0.86899,0.92527,0.000283085,0.000283085,0.000283085
83,567.4,0.21946,0.56247,0.86823,0.95396,0.98647,0.995,0.97429,0.21349,0.87135,0.9275,0.000268938,0.000268938,0.000268938
84,574.226,0.25203,0.59074,0.92266,0.95396,0.98647,0.995,0.97429,0.21349,0.87135,0.9275,0.000254791,0.000254791,0.000254791
85,581.109,0.26426,0.61239,0.91725,0.97168,0.9915,0.995,0.97974,0.19033,0.82833,0.9108,0.000240644,0.000240644,0.000240644
86,587.978,0.2412,0.55985,0.86911,0.97029,0.9898,0.995,0.98969,0.17692,0.78644,0.90368,0.000226497,0.000226497,0.000226497
87,594.816,0.25911,0.58339,0.91442,0.97029,0.9898,0.995,0.98969,0.17692,0.78644,0.90368,0.000212349,0.000212349,0.000212349
88,601.667,0.22547,0.59005,0.87809,0.97148,0.99196,0.995,0.98969,0.17711,0.77033,0.90358,0.000198202,0.000198202,0.000198202
89,608.433,0.22997,0.56676,0.89135,0.97148,0.99196,0.995,0.98969,0.17711,0.77033,0.90358,0.000184055,0.000184055,0.000184055
90,615.205,0.20009,0.56934,0.8857,0.97395,0.99756,0.995,0.98968,0.18425,0.75755,0.90311,0.000169908,0.000169908,0.000169908
91,624.818,0.25095,0.79677,0.89608,0.97395,0.99756,0.995,0.98968,0.18425,0.75755,0.90311,0.000155761,0.000155761,0.000155761
92,631.584,0.24846,0.78865,0.91335,0.9733,1,0.995,0.98969,0.20638,0.77725,0.90213,0.000141614,0.000141614,0.000141614
93,638.338,0.2913,0.7963,0.94245,0.9733,1,0.995,0.98969,0.20638,0.77725,0.90213,0.000127467,0.000127467,0.000127467
94,645.114,0.26849,0.8022,0.96211,0.96999,1,0.995,0.98343,0.22163,0.80755,0.90785,0.00011332,0.00011332,0.00011332
95,651.883,0.25944,0.7591,0.93392,0.97008,1,0.995,0.98343,0.22137,0.82968,0.90884,9.91726e-05,9.91726e-05,9.91726e-05
96,658.647,0.26123,0.79876,0.92797,0.97008,1,0.995,0.98343,0.22137,0.82968,0.90884,8.50255e-05,8.50255e-05,8.50255e-05
97,665.417,0.24167,0.76475,0.90485,0.96841,1,0.995,0.98343,0.21568,0.84369,0.90692,7.08784e-05,7.08784e-05,7.08784e-05
98,672.165,0.22247,0.75829,0.89007,0.96841,1,0.995,0.98343,0.21568,0.84369,0.90692,5.67313e-05,5.67313e-05,5.67313e-05
99,678.932,0.2308,0.7596,0.89553,0.96669,1,0.995,0.995,0.20778,0.84167,0.90455,4.25842e-05,4.25842e-05,4.25842e-05
100,685.68,0.25061,0.77415,0.88905,0.96669,1,0.995,0.995,0.20778,0.84167,0.90455,2.84371e-05,2.84371e-05,2.84371e-05
