epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,151.849,0.44876,0.59286,0.91365,0.98934,1,0.995,0.93425,0.38354,0.49789,0.80534,0.000834822,0.000834822,0.000834822
44,155.342,0.43243,0.5927,0.89463,0.99086,1,0.995,0.92816,0.36722,0.47384,0.80074,0.000820675,0.000820675,0.000820675
45,158.838,0.41146,0.56465,0.89913,0.99325,1,0.995,0.94296,0.33639,0.4827,0.79416,0.000806528,0.000806528,0.000806528
46,162.369,0.44026,0.61195,0.9333,0.99267,1,0.995,0.9552,0.29641,0.4951,0.78533,0.00079238,0.00079238,0.00079238
47,165.899,0.39882,0.56562,0.89763,0.99181,1,0.995,0.9605,0.29665,0.49083,0.78347,0.000778233,0.000778233,0.000778233
48,169.373,0.40688,0.55041,0.88133,0.99156,1,0.995,0.95913,0.30168,0.46402,0.78257,0.000764086,0.000764086,0.000764086
49,172.907,0.41117,0.58265,0.89934,0.99213,1,0.995,0.95181,0.32935,0.43522,0.78217,0.000749939,0.000749939,0.000749939
50,176.426,0.38482,0.56849,0.89127,0.99213,1,0.995,0.95181,0.32935,0.43522,0.78217,0.000735792,0.000735792,0.000735792
51,179.968,0.38434,0.53967,0.89076,0.99235,1,0.995,0.95623,0.31008,0.43619,0.77648,0.000721645,0.000721645,0.000721645
52,183.521,0.37264,0.52569,0.88512,0.99362,1,0.995,0.95101,0.28079,0.41471,0.76792,0.000707498,0.000707498,0.000707498
53,187.077,0.39239,0.54437,0.89885,0.99393,1,0.995,0.96233,0.26064,0.38724,0.76618,0.000693351,0.000693351,0.000693351
54,190.594,0.38266,0.52636,0.8983,0.99423,1,0.995,0.96936,0.26719,0.41032,0.76844,0.000679204,0.000679204,0.000679204
55,194.127,0.36783,0.5296,0.89407,0.99334,1,0.995,0.96148,0.32093,0.41921,0.77801,0.000665057,0.000665057,0.000665057
56,197.631,0.37565,0.52498,0.8972,0.99359,1,0.995,0.94071,0.34736,0.4389,0.78528,0.000650909,0.000650909,0.000650909
57,201.122,0.4012,0.54581,0.8883,0.99277,1,0.995,0.92959,0.34695,0.46488,0.78852,0.000636762,0.000636762,0.000636762
58,204.641,0.37063,0.54607,0.88471,0.99258,1,0.995,0.94634,0.32908,0.462,0.7894,0.000622615,0.000622615,0.000622615
59,208.152,0.35628,0.52092,0.88922,0.99411,1,0.995,0.95249,0.30137,0.42055,0.78126,0.000608468,0.000608468,0.000608468
60,211.743,0.35063,0.51217,0.88872,0.99309,1,0.995,0.96828,0.25769,0.38925,0.77776,0.000594321,0.000594321,0.000594321
61,215.191,0.33265,0.50377,0.89615,0.99186,1,0.995,0.96563,0.2617,0.3844,0.77482,0.000580174,0.000580174,0.000580174
62,218.669,0.33297,0.48914,0.88929,0.99127,1,0.995,0.96086,0.28171,0.40401,0.77554,0.000566027,0.000566027,0.000566027
63,222.124,0.34354,0.50793,0.88761,0.99204,1,0.995,0.96407,0.27922,0.40203,0.77369,0.00055188,0.00055188,0.00055188
64,225.583,0.35416,0.52113,0.89451,0.99364,1,0.995,0.96744,0.26709,0.3877,0.7717,0.000537733,0.000537733,0.000537733
65,229.042,0.34836,0.50076,0.88895,0.99332,1,0.995,0.9645,0.24506,0.39031,0.76936,0.000523586,0.000523586,0.000523586
66,232.53,0.33785,0.48444,0.88877,0.99352,1,0.995,0.9703,0.23913,0.37756,0.76766,0.000509438,0.000509438,0.000509438
67,235.993,0.33381,0.4829,0.88307,0.99388,1,0.995,0.97597,0.24758,0.37904,0.76837,0.000495291,0.000495291,0.000495291
68,239.463,0.34324,0.49588,0.87813,0.99478,1,0.995,0.97481,0.2518,0.38812,0.76873,0.000481144,0.000481144,0.000481144
69,243.048,0.33686,0.50588,0.88444,0.99521,1,0.995,0.96371,0.27014,0.40168,0.77389,0.000466997,0.000466997,0.000466997
70,246.994,0.31148,0.47567,0.88374,0.99418,1,0.995,0.96601,0.28303,0.39625,0.77835,0.00045285,0.00045285,0.00045285
71,250.664,0.32076,0.45072,0.86152,0.99476,1,0.995,0.96777,0.27828,0.38767,0.77682,0.000438703,0.000438703,0.000438703
72,254.229,0.32586,0.45652,0.87207,0.99474,1,0.995,0.96939,0.27952,0.38384,0.77706,0.000424556,0.000424556,0.000424556
73,257.847,0.30825,0.43618,0.86672,0.99447,1,0.995,0.96939,0.26448,0.37365,0.7732,0.000410409,0.000410409,0.000410409
74,261.414,0.33918,0.4731,0.89809,0.99415,1,0.995,0.96785,0.25803,0.35979,0.77092,0.000396262,0.000396262,0.000396262
75,264.961,0.30837,0.44592,0.86789,0.99427,1,0.995,0.96919,0.2594,0.34769,0.76786,0.000382115,0.000382115,0.000382115
76,268.524,0.29454,0.42814,0.85048,0.99454,1,0.995,0.97841,0.25651,0.34245,0.76737,0.000367967,0.000367967,0.000367967
